parentid,id,body
"2376219","2376242","<p>Did you listen when we said in your previous questions that $K/F$ is Galois iff $F = K^G$ where $G= Gal(K/F)$ is a finite group of automorphisms of $K$ ? </p>

<p>For $\alpha \in K$, it means that the polynomial with distinct roots $f(x) = \prod_{\beta \in G (\alpha)} (x-\beta) \in K[x]$ has coefficients in the fixed field, ie. $f \in F[x]$, therefore it is the minimal polynomial of $\alpha$. </p>

<p>$G( \alpha)= \{ \beta \in K, \exists \sigma \in G, \sigma(\alpha) = \beta\}$.</p>

<p>$K^G = \{ \alpha \in K, \forall \sigma \in G, \sigma(\alpha) = \alpha\}$.</p>

<p>$f(x) =\prod_{\beta \in G (\alpha)} (x-\beta)= \sum_{n=0}^d c_n x^n, \quad \sum_{n=0}^d \sigma(c_n) x^n = \prod_{\beta \in G (\alpha)} (x-\sigma(\beta))= f(x)$.</p>

<p>$f \in F[x] \land f(\alpha) = 0 \land \sigma \in Gal(K/F) \implies f(\sigma(\alpha)) =\sigma(f(\alpha)) = 0$.</p>

<hr>

<ul>
<li><p>Show the main statement when $K = F(\alpha)$ and use induction. It is equivalent to $|Gal(K/F)| = [K:F]$.</p></li>
<li><p>Because $x^p-1 \equiv (x-1)^p \bmod p$ it means $\zeta_p$ doesn't exist in $\mathbb{F}_p$ and $x^p-t^p$ is the non-separable minimal polynomial of $t$ over $\mathbb{F}_p(t^p)$ so that $\mathbb{F}_p(t)/\mathbb{F}_p(t^p)$ is a non-separable finite extension. </p></li>
<li><p>If $E=F(\alpha)$ where the minimal polynomial $f$ of $\alpha$ is separable then its normal closure (the splitting field of $f$) is Galois. </p></li>
</ul>
"
"2376224","2376239","<p>Basically $S$ is a set of commuting operators and $\vert s\rangle$ is a common eigenvector of elements of this set.  </p>

<p>To generate the two vectors you have, one might as well assume that elements of the set are diagonal, so pick them to be
$$
s_1=\hat 1\, , \qquad s_2=\sigma_z
$$
with $\sigma_z$ the Pauli matrix.  The common eigenvectors are $[1,0]^T$ and $[0,1]^T$.</p>

<p>To get $\psi=(\alpha,\beta)^T$ note first that $\vert\alpha\vert^2 +\vert \beta\vert^2=1$, construct the matrix
$$
U=\left(\begin{array}{cc}
\alpha&amp;-\beta^* \\ \beta&amp;\alpha^*\end{array}\right)\, .
$$
and note that $U[1,0]^T=(\alpha,\beta)$ and $U$ is unitary.  Thus to get the set that will have $\psi$ as eigenvectors you need to conjugate $\hat 1$ and $\sigma_z$ by $U$, i.e. your new set is $\{\hat 1,U\sigma_zU^{-1}\}$.  </p>

<p>If you need elements in $S$ to be unitary you can just use $e^{-i\alpha \sigma_z}$ instead of $\sigma_z$.  The key point is that the eigenvalues of your second operator should be distinct.</p>
"
"2376243","2376254","<p>If you have a collection of infinitely-many elements with only finitely-many distinct ones, there must be, for cardinality reasons, at least one, say $s_k$ that repeats infinitely often. Then the subsequence given by $s_k,s_k,....,s_k,..$ is constant and therefore convergent.</p>
"
"2376244","2376247","<p>You can do it by using the Pythagorean identity: $\sin^2 x+\cos^2 x =1$. This can be rewritten two different ways:</p>

<p>$$\sin^2 x = 1- \cos^2 x$$</p>

<p>and </p>

<p>$$\cos^2 x = 1 - \sin^2 x$$</p>

<p>Use either of these formulas to replace the $\sin^2 x$, or the $\cos^2 x$, on the right side of your identity. That will give you the other two forms.</p>
"
"2376257","2376273","<p>This is a partial answer.  We'll reduce the question to one of representation theory (of Lie groups), and give an answer in two ""extreme"" cases.</p>

<p>Suppose $\nabla$ is the Levi-Civita connection of some Riemannian metric $g_1$.  Since $\nabla$ is torsion-free, we know that $\nabla$ will be the Levi-Civita connection of a metric $g_2$ if and only if $\nabla g_2 = 0$.  This means that we have to understand which (positive-definite) symmetric $2$-tensor fields are $\nabla$-parallel.  Understanding which tensor fields are $\nabla$-parallel can be accomplished via:</p>

<blockquote>
  <p><strong>The Holonomy Principle:</strong> Let $\nabla$ be a connection on a connected smooth manifold $M$.  Let $\text{Hol}_x \leq \text{GL}(T_xM)$ denote the holonomy group (really, holonomy representation) of $\nabla$ at $x \in M$.</p>
  
  <p>(a) If $T \in \Gamma(TM^{\otimes r} \otimes T^*M^{\otimes s})$ is a parallel tensor field on $M$, then $T|_x$ is fixed by the $\text{Hol}_x$-action on $T_xM^{\otimes r} \otimes T_x^*M^{\otimes s}$.</p>
  
  <p>(b) Conversely: If $T_0$ is a tensor at $x$ fixed by the $\text{Hol}_x$-action on $T_xM^{\otimes r} \otimes T_x^*M^{\otimes s}$, then there exists a unique parallel tensor field $T$ on $M$ with $T|_x = T_0$.</p>
</blockquote>

<p>Since our connection $\nabla$ is the Levi-Civita connection of some (let's say Riemannian) metric $g_1$, we have $\text{Hol}_x \leq \text{SO}(T_xM, g_1) \cong \text{SO}(n)$.  The question is now: What is the space of (positive-definite) symmetric $2$-tensors at $x$ which are fixed by the $\text{Hol}_x$-action on $\text{Sym}^2(T^*_xM) \subset T_x^*M^{\otimes 2}$.  This is a question of representation theory.</p>

<blockquote>
  <p><strong>Example:</strong> (The trivial example) Suppose $\nabla$ is the Levi-Civita connection of a flat metric $g_1$, and suppose $M$ is connected and simply-connected.  Then $\text{Hol}_x = 0$ is the identity group, so every element of $\text{Sym}^2(T_x^*M)$ is fixed.</p>
  
  <p>Concretely: If $g_0$ is any (positive-definite) symmetric $2$-tensor at $x$, then (by the Holonomy Principle) we can extend $g_0$ uniquely to a $\nabla$-parallel tensor field $g$ on all of $M$.  The upshot is that, for the sort of connections $\nabla$ in this example, we essentially have an $\binom{n+1}{2}$-dimensional space of compatible metrics.</p>
</blockquote>

<p>Note that the dimension $\binom{n+1}{2}$ is the largest possible.  For the Levi-Civita connection of a ""generic"" Riemannian metric $g_1$, the holonomy group will be all of $\text{SO}(n)$, and the space of compatible metrics will be $1$-dimensional.</p>

<p>I do not know about the intermediate cases -- i.e., when $\nabla$ is not generic and not flat.  (My representation theory needs some work!)</p>
"
"2376260","2376329","<p>We can see that $\sum_{n=1}^{\infty} \frac{x^n}{n^2}$ is not convergent for $x &gt; 1$, which is clear considering that $\lim_{n\to \infty} \frac{x^n}{n^2} = \infty$ for $x &gt; 1$ (if this is not obvious, use l'Hôspital's rule twice). Therefore, we consider only $x\in (0, 1]$. Notice that $$\sum_{n=1}^{\infty} \frac{x^{n-1}}{n} = \frac{1}{x}\sum_{n=1}^{\infty} \frac{x^n}{n} = -\frac{\log(1-x)}{x}$$ for $x\in (0, 1)$. Convergence is readily apparent by the ratio test, and then we have uniform convergence on compact sets by Dini's theorem (or by the Weierstrass M-test, but Dini's theorem is easy here). For $x = 1$, we get the harmonic series, which diverges. Note that $g(x) = -\frac{\log(1-x)}{x}$ is $C^{\infty}$-smooth on $(0, 1)$.</p>
"
"2376263","2376268","<p>The key step is as follows: \begin{align*} \lvert x_m-x_n\rvert &amp;= \left\lvert \sum_{k=0}^{m-n-1} x_{m-k}-x_{m-k-1}\right\rvert \\ &amp;\leq \sum_{k=0}^{m-n-1} \lvert x_{m-k}-x_{m-k-1}\rvert \end{align*}</p>

<p>The inequality here follows from the triangle inequality (i.e. $\left\lvert \sum_{k=1}^n a_k\right\rvert\leq \sum_{k=1}^n \lvert a_k\rvert$).</p>
"
"2376276","2376283","<p>$1 &gt; p-1 &gt; 0$ is the same as $2 &gt; p &gt; 1$ for which this integral $\int t^{-p}dt$ converges. In fact it converges for all $p &gt; 1$ as the solution states.</p>

<p>In response to your comment: $t^n \to \infty$ as $t\to\infty$ if $n&gt;0$, which includes things such as $n=\frac 1 2 \text{ or } 0.1$ etc.</p>
"
"2376279","2376320","<p>Correct! Those 3 axioms plus modus ponens form a <em>complete</em> proof system: every valid argument involving $\neg$ and $\rightarrow$ can be proven to be valid using just those 3 axioms plus modus ponens.  And since $\{ \neg, \rightarrow \}$ is an expressively complete set of operators, any propositional logic operator can be defined in terms of them, and hence any argument as well and again: if it is valid, it can be proven to be valid within this very simple system (the proofs themselves, of course, are often far from simple!  Though there <em>are</em> algorithms to automatically create a proof for any valid argument)</p>

<p>You also asked about transforming axioms into inference rules. I am not exactly sure what you mean, but obviously each axiom can be treated as an inference rule: from nothing, you can infer a statement of the form as indicated. </p>

<p>Oh, and please note: the letters $p$, $q$, and $r$ are sentence <em>variables</em>, meaning that you can fill in <em>any</em> sentence for them. Thus, for example:</p>

<p>$$(A \rightarrow \neg B) \rightarrow (\neg \neg C \rightarrow (A \rightarrow \neg B))$$</p>

<p>would be an instance of axiom 1, where we use $A \rightarrow \neg B$ for $p$ and $\neg \neg C$ for $q$</p>
"
"2376285","2376290","<p>You can have a look at the <a href=""https://www.oeis.org"" rel=""nofollow noreferrer""> On-Line Encyclopedia of Integer Sequences </a> which stores a lot of integer sequences with interesting comments, formulas and references.</p>

<p>For this sequence you will find <a href=""http://oeis.org/search?q=1%2C1%2C2%2C3%2C3%2C4%2C5%2C6%2C6%2C7%2C8%2C9%2C10%2C10%2C11%2C12%2C13%2C14&amp;sort=&amp;language=english&amp;go=Search"" rel=""nofollow noreferrer""> 3 answers </a>. I won't reproduce the formulas they give here but the simplest one is maybe to see this sequence as ""the sequence of nonnegative integers with the triangular numbers repeated"".</p>
"
