id,acceptedanswerid,title,body
"2376219","2376242","The minimal polynomial can't have multiple roots (in my proof)","<p>I have a question about the roots of the minimal polynomial $f_\alpha$, I can't see why $f_\alpha$ is separable, i.e. all it's roots must be different on a splitting field $\mathbf K$. I know it's roots are $\sigma_i(\alpha),$ but What is the proof to know that all the $\sigma_i's$ are different?</p>

<p>Proposition: If $\mathbf K:\mathbf F&lt;\infty,$ and is Galois, then it is normal and separable.</p>

<p><strong>Proof:</strong>
(summary of t.gunn's proof  :)</p>

<p>Let $\alpha\in\mathbf K.$</p>

<p>The minimal polynomial of $\alpha$ is</p>

<p>$$ f_\alpha(x) := \prod_{\beta \in G \cdot \alpha} (x - \beta). $$
Indeed:</p>

<p>First, note that $f_\alpha(\alpha) = 0$, which follows since $\alpha = \operatorname{id}(\alpha) \in G \cdot \alpha$.</p>

<ul>
<li><p>Second, note that $f_\alpha \in \mathbf{F}[x]$, </p></li>
<li><p>Third note that $f_\alpha$ is minimal. Indeed if $f(\alpha) = 0$ then $f(\sigma(\alpha)) = \sigma(f(\alpha)) = \sigma(0) = 0$ for all $\sigma \in G$. Thus $\sigma(\alpha)$ is a root for all $\sigma \in G$. Thus $f_\alpha \mid f$.</p></li>
</ul>

<p>Finally, we note that $f_\alpha$ splits over $\mathbf{K}$ and is separable, by construction.</p>
"
"2376224","2376239","States uniquely defined by operators","<p>In <a href=""https://arxiv.org/pdf/1605.08384.pdf"" rel=""nofollow noreferrer"">this</a> article authors define quantum states $\left|\psi\right\rangle$ (elements of some Hilbert space H - in most simple case a $2\times 1$ complex vector such that $|\psi| = 1$) by a set of operators such that $s \left|\psi\right\rangle = \left|\psi\right\rangle$. See attached.</p>

<p><a href=""https://i.stack.imgur.com/LpguE.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/LpguE.png"" alt=""enter image description here""></a></p>

<p>While the concept seems clear to me, and it <em>sounds</em> right, I can't produce such set to identify $$\left|\psi\right\rangle = \alpha [1,0]^T + \beta[0,1]^T$$ (so, not even in the simplest case.)</p>

<p>I am looking for some help in understanding how, given a state, one can generate such set of operators. Can it always be done? If yes, can one always define the smallest set of operators (in finite dimensional Hilbert space). Is there a sense of orthogonality, in similiar way elements of Hilbert space are linear combinations of orthogonal basis?</p>
"
"2376243","2376254","proof that a finite bounded set converges","<p>I'm having trouble understanding the part of the solution below which proves that every bounded sequence that's finite converges, which comes from theorom 3.8 (chapter title: ""numerical sequences and Series"") of ""Principles of Mathematical Analysis"" by rudin.  The theorem basically states that every bounded sequence contains a convergent subsequence.  </p>

<p>My interpetation is that $E$ is bounded but $\left\{s_n\right\}$ is not.  So we just assume that $\left\{s_n\right\}$ continues to take inputs.  Visually.  I see this as a parabola where $z$ is some point on one side of the maxima thus the subsequence includes the point on the other side which takes on the same value in the range?</p>

<p>btw, $E$ refers to the range of $\left\{s_n\right\}$</p>

<blockquote>
  <p>If $E$ is finite, then then there is at least one point of $E$, say $z$, and a sequence $\left\{n_k\right\}$ where $n_1&lt;n_2&lt;...$, such that $s_{n_1}=s_{n_2}=...z$.  The subsquence $\left\{s_{n_k}\right\}$ obtained in this manner evidently converges</p>
</blockquote>
"
"2376244","2376247","How to get to the other forms of the identity $\cos2x = \cos^2x -\sin^2x$","<p>I'll need to memorize $\cos2x = \cos^2x - \sin^2x$ as I'll use it in derivatives.</p>

<p>Only, there are other forms for this identity, I can't see how I can get to the others from this one above.</p>

<p>The other forms are</p>

<p>$$2\cos^2x - 1\\
1 - 2\sin^2x$$</p>
"
"2376257","2376273","Converse of the fundamental theorem of Riemannian geometry?","<p>The <a href=""https://en.wikipedia.org/wiki/Fundamental_theorem_of_Riemannian_geometry"" rel=""nofollow noreferrer"">fundamental theorem of Riemannian geometry</a> says that for a manifold with a given metric, there is a unique torsion-free connection.</p>

<p>Suppose instead that we are given a connection. According to answers to <a href=""https://mathoverflow.net/questions/54434/when-can-a-connection-induce-a-riemannian-metric-for-which-it-is-the-levi-civita"">this question</a>, a metric exists that induces that connection.  How much non-uniqueness is there in the metric? It seems that there is at least an ambiguity up to a constant factor, because if the connection is metric-compatible with the metric $g$ (i.e., $\nabla g=0$), then it's also compatible with $cg$.</p>

<p>Does any of this change in the semi-Riemannian case?</p>
"
"2376260","2376329","Finding points at which the following series is continuously differentiable.","<p>Let</p>

<p>$$f(x)=\sum_{n=1}^{\infty}\frac{x^n}{n^2},\:\:\:x\in(0,2).$$</p>

<p>By Weierstrass M-Test I know, $f(x)$ is a uniformly convergent series on $(0,1]$. Now I want to find all $x\in (0,2)$ at which $f(x)$ is continuously and infinitely many times differentiable. </p>

<p>However for the series $g(x):=\sum_{n=1}^{\infty}\frac{x^{n-1}}{n}$, there is no way to apply Weierstrass M-test. I have no clue how to go further. I appreciate any help. </p>
"
"2376263","2376268","Use of triangle inequality in contraction mapping","<p>The following is a part of the proof for the contraction mapping theorem on <em>Mathematical Analysis I</em> by V.A Zorich:
<a href=""https://i.stack.imgur.com/vo0Ij.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/vo0Ij.jpg"" alt=""enter image description here""></a></p>

<p><a href=""https://i.stack.imgur.com/hTN2e.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/hTN2e.jpg"" alt=""enter image description here""></a></p>

<p>My question is: how did he use the triangle inequality, by looking at other proofs i saw that it's a repeated aplication of the tirangle inequality, but i still can't see it. Could someone please elaborate on that step?</p>
"
"2376276","2376283","Limit of $t^{p - 1}$ as $t$ approaches infinity","<p><a href=""https://i.stack.imgur.com/LE3WM.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/LE3WM.png"" alt=""enter image description here""></a></p>

<blockquote>
  <p>If $1 &gt; p - 1 &gt; 0$, such as $0.5$, then $t^{p - 1}$ wouldn’t approach infinity as $t$ approaches infinity. Isn't that right? Doesn't this fact make the solution slightly off?</p>
</blockquote>
"
"2376279","2376320","Minimal set of rules of inference?","<p>Although impractical, propositional logic can be formulated with purely the set of logical connectives {$\neg,\rightarrow$} (or even just NAND/NOR), along with a sufficiently large set of propositional atoms, a set of logical axioms commonly stated as:</p>

<blockquote>
  <ul>
  <li>$\vdash p\rightarrow(q\rightarrow p)$</li>
  <li>$\vdash(p\rightarrow(q\rightarrow r))\rightarrow((p\rightarrow q)\rightarrow(p\rightarrow r))$</li>
  <li>$\vdash(\neg p\rightarrow\neg q)\rightarrow(q\rightarrow p)$</li>
  </ul>
</blockquote>

<p>And a set of rules of inference ($\textit{modus ponens}$):</p>

<blockquote>
  <ul>
  <li>$p,\space p\rightarrow q\vdash q$</li>
  </ul>
</blockquote>

<p>Is this sufficient to characterize all of propositional logic? In other words, can every proof in propositional logic be reduced to combinations of solely these symbols and applications of purely these rules? I'm aware every formula can be reduced to combinations of $\neg$ and $\rightarrow$, or to define other logical connectives in terms of only these for ease of use, for example:</p>

<ul>
<li>$p\land q:=\neg(p\rightarrow\neg q)$</li>
<li>$p\lor q:=\neg p\rightarrow q$</li>
</ul>

<p>Wikipedia gives a list of common rules of inference <a href=""https://en.wikipedia.org/wiki/List_of_rules_of_inference#Rules_of_classical_predicate_calculus"" rel=""nofollow noreferrer"">here</a>, is it possible to do a similar thing and define all of these rules of inference using only the information given in the introduction, i.e. take, for instance, disjunctive syllogism:</p>

<p>$$\frac{p\lor q,\space\neg p}{\therefore q}$$</p>

<p>Is it possible to prove</p>

<p>$$\frac{\neg p\rightarrow q,\space\neg p}{\therefore q}$$</p>

<p>And any other of the given rules on that page? If not, what is the minimal set of rules of inference? I ask this as a mental exercise, obviously it is not practical to reduce everything to this smallest sufficient set of rules, in the same way that we use $\land$, $\lor$, and $\leftrightarrow$ in addition to the other two for ease of use.</p>

<p>Also, if my understanding is right, we can take any two of the three axioms and turn them into rules of inference as long as we leave at least one element in our set of axioms, but please correct me if I'm wrong.</p>
"
"2376285","2376290","Pattern recognition. Finding the general term","<pre><code>n          output

2           1
3           1
4           2
5           3
6           3
7           4
8           5
9           6
10          6
11          7
12          8
13          9
14          10
15          10
16          11
17          12
18          13
19          14
</code></pre>

<p>I feel mathematically incapable of answering this. I could use floor and ceil by the way. floor rounds to the lowest integer, ceil rounds to the highest integer</p>

<p>I've come close to this pattern. </p>

<p>What I've came up with $$a_n = n - floor(\sqrt{n})+1$$</p>

<p>It aint exactly right.</p>

<p>You could add any conditions by the way, i.e if its even or odd. </p>

<p>Found the answer thx below.</p>
"
"2376294","2376302","Recurrence relation $a_n = 11a_{n-1} - 40a_{n-2} + 48a_{n-3} + n2^n$","<p>I didn't do a lot of maths in my career, and we asked me to solve the following recurrence relation:</p>

<p>$$a_{n} = 11a_{n-1} - 40a_{n-2} + 48a_{n-3} + n2^n$$</p>

<p>with </p>

<p>$a_0 = 2$, $a_1 = 3$ and $a_2 = 1$</p>

<p>What is the procedure to solve such relation? So far, I just know that $a_n$ could be split into two difference recurrence relations (homogeneous and non-homogeneous) as $a_n = b_n + c_n$, where </p>

<p>$$b_n = 11b_{n-1} - 40b_{n-2} + 48b_{n-3}$$
and 
$$c_n = n2^n$$</p>
"
